travelCode,userCode,price,time,distance,from_Brasilia (DF),from_Campo Grande (MS),from_Florianopolis (SC),from_Natal (RN),from_Recife (PE),from_Rio de Janeiro (RJ),from_Salvador (BH),from_Sao Paulo (SP),to_Brasilia (DF),to_Campo Grande (MS),to_Florianopolis (SC),to_Natal (RN),to_Recife (PE),to_Rio de Janeiro (RJ),to_Salvador (BH),to_Sao Paulo (SP),flightType_firstClass,flightType_premium,agency_FlyingDrops,agency_Rainbow
0,0,1434.38,1.76,676.53,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
0,0,1292.29,1.76,676.53,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1,0,1487.52,1.66,637.56,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,1127.36,1.66,637.56,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2,0,1684.05,2.16,830.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2,0,1531.92,2.16,830.86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3,0,743.54,1.69,650.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0,877.56,1.69,650.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,803.39,1.76,676.53,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4,0,695.3,1.76,676.53,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5,0,1287.52,1.11,425.98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5,0,898.04,1.11,425.98,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
6,0,1070.54,1.76,676.53,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
6,0,1013.4,1.76,676.53,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
7,0,964.83,2.16,830.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,0,811.73,2.16,830.86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,513.06,1.26,486.52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,0,829.91,1.26,486.52,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
9,0,583.6,0.72,277.7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,0,506.56,0.72,277.7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,0,992.17,0.67,257.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
10,0,824.31,0.67,257.81,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
11,0,1268.97,1.76,676.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
11,0,882.86,1.76,676.56,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
12,0,965.62,1.11,425.98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
12,0,706.36,1.11,425.98,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
13,0,1434.38,1.76,676.53,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
13,0,1292.29,1.76,676.53,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
14,0,893.65,0.67,257.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
14,0,742.94,0.67,257.81,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
15,0,474.6,0.58,222.67,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
15,0,563.23,0.58,222.67,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
16,0,1021.53,1.69,650.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
16,0,1215.45,1.69,650.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,0,301.51,0.58,222.67,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,0,429.77,0.58,222.67,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,0,791.66,1.43,550.69,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,0,697.51,1.43,550.69,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,0,1596.61,2.05,788.55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
19,0,1348.04,2.05,788.55,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
20,0,1069.12,1.39,535.4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
20,0,1185.95,1.39,535.4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
21,0,1596.61,2.05,788.55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
21,0,1348.04,2.05,788.55,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
22,0,1214.82,1.11,425.98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
22,0,959.29,1.11,425.98,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
23,0,568.38,0.63,242.21,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
23,0,573.61,0.63,242.21,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
24,0,1576.97,1.66,637.56,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
24,0,1087.18,1.66,637.56,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
25,0,446.73,1.02,392.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
25,0,647.9,1.02,392.76,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
26,0,1242.65,2.05,788.55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
26,0,1016.53,2.05,788.55,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
27,0,898.04,1.11,425.98,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
27,0,1287.52,1.11,425.98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
28,0,427.25,0.46,176.33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
28,0,479.37,0.46,176.33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
29,0,604.14,1.44,555.74,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,0,684.88,1.44,555.74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,743.54,1.69,650.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
30,0,877.56,1.69,650.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,0,1190.94,1.55,597.61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
31,0,1381.55,1.55,597.61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
32,0,893.65,0.67,257.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
32,0,742.94,0.67,257.81,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
33,0,1346.6,1.76,676.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
33,0,836.89,1.76,676.56,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
34,0,630.34,1.02,392.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
34,0,906.59,1.02,392.76,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
35,0,1434.38,1.76,676.53,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
35,0,1292.29,1.76,676.53,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
36,0,1181.19,1.44,555.74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
36,0,1119.47,1.44,555.74,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
37,0,1499.93,2.1,808.85,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
37,0,1574.28,2.1,808.85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
38,0,1433.35,1.43,550.69,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
38,0,1192.62,1.43,550.69,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
39,0,958.15,1.76,676.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39,0,587.85,1.76,676.56,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
40,0,371.04,0.48,183.37,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
40,0,364.34,0.48,183.37,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
41,0,1706.89,2.3,885.57,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
41,0,1702.23,2.3,885.57,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
42,0,832.77,1.39,535.4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
42,0,991.22,1.39,535.4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
43,0,1484.94,2.05,788.55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
43,0,1440.02,2.05,788.55,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
44,0,803.39,1.76,676.53,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
44,0,695.3,1.76,676.53,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
45,0,474.6,0.58,222.67,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
45,0,563.23,0.58,222.67,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
46,0,1183.57,1.55,597.61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
46,0,1446.4,1.55,597.61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
47,0,533.8,0.67,257.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
47,0,393.84,0.67,257.81,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
48,0,884.94,1.66,637.56,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48,0,636.51,1.66,637.56,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
49,0,440.69,0.48,183.37,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
49,0,435.67,0.48,183.37,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
50,0,930.12,1.55,597.61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
50,0,1098.93,1.55,597.61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
51,0,1242.65,2.05,788.55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
51,0,1016.53,2.05,788.55,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
52,0,889.07,1.66,637.56,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
52,0,555.01,1.66,637.56,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
53,0,831.7,0.72,277.7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
53,0,661.32,0.72,277.7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
54,0,730.43,1.02,392.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
54,0,1186.15,1.02,392.76,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
55,0,1371.83,1.76,676.53,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
55,0,1175.62,1.76,676.53,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
56,0,959.29,1.11,425.98,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
56,0,1214.82,1.11,425.98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
